topic,term,beta
8,30_min_lunch,5.772366140567568e-292
9,30_min_lunch,6.6e-322
10,30_min_lunch,2.12949191222969e-226
11,30_min_lunch,6.113013349396799e-294
12,30_min_lunch,4.090305005203627e-280
13,30_min_lunch,7.149093762639162e-275
14,30_min_lunch,1.81787304e-316
15,30_min_lunch,2.6418937961122313e-286
16,30_min_lunch,4.947259155368346e-236
1,30_minut_break,1.0003818072163689e-285
2,30_minut_break,0
3,30_minut_break,3.8482808203383077e-281
4,30_minut_break,1.330168686711118e-168
5,30_minut_break,1.1934805889390651e-295
6,30_minut_break,0.0011912548289546398
7,30_minut_break,8.449887353479938e-261
8,30_minut_break,1.145029343329407e-308
9,30_minut_break,0
10,30_minut_break,4.338322504928721e-232
11,30_minut_break,1.882115479013282e-305
12,30_minut_break,1.2102204280451393e-306
13,30_minut_break,7.76318213327444e-270
14,30_minut_break,6.945399073797337e-281
15,30_minut_break,1.7105633427528936e-293
16,30_minut_break,7.989918234265312e-152
1,30_minut_lunch,2.8647993390862764e-242
2,30_minut_lunch,0
3,30_minut_lunch,2.2324541093656952e-296
4,30_minut_lunch,7.368233917926021e-199
5,30_minut_lunch,1.3631877666172956e-292
6,30_minut_lunch,0.0021317191676030406
7,30_minut_lunch,1.2533345027406729e-246
8,30_minut_lunch,2.1411945565357063e-304
9,30_minut_lunch,1.06e-321
10,30_minut_lunch,3.4761000762803635e-236
11,30_minut_lunch,1.1285094415230954e-287
12,30_minut_lunch,1.2736150543577996e-301
